dat,src,rea
7/8,185,139,get doc by id
7/9,243,161,view minilatex
7/10,396,187,DocumentList module (opaque), rq public docs, LH search results, select doc on click, key node + counter for minilatex
7/11,540,252,load master doc
7/12,636,326,add DocumentDictionrary, loadTexMacros
7/13,806,351,MILESTONE: Reader
7/14,901,496,MILESTONE: Editor, with save doc 
7/15,963,583,Autosave,Fix asciidoc rendering
7/16,991,982,Manage tags, docType, texType, versions
7/17,1016,1061,MILESTONE: attaching new subdocuments
7/18,1016,1060,add viewport base code
7/19,1018,1068,fix live asciidoc rendering using second counter for when debounce unloads + misc improvements
